Location,Occupancy
JEAP,3.3623999999999996
JGAR,3.665
BSEA,1.5
BSLS,0.0
BSGA,0.5519999999999999
BG56,3.2
BG23,0.0
BHEA,1.5
INFO,0.5
timestamp,2026-06-06 22:18:00
